,1,2,3,4,5
0 - 0.4,0.19230769230769232,0.17307692307692307,0.15384615384615385,0.17307692307692307,0.3076923076923077
0.4 - 0.5,0.21071428571428572,0.15,0.17857142857142858,0.21071428571428572,0.25
0.5 - 0.6,0.1572769953051643,0.2112676056338028,0.24178403755868544,0.21830985915492956,0.17136150234741784
0.6 - 0.7,0.26865671641791045,0.17164179104477612,0.236318407960199,0.18407960199004975,0.13930348258706468
0.7 - 0.8,0.28289473684210525,0.21052631578947367,0.21710526315789475,0.21710526315789475,0.07236842105263158
0.8 - 0.9,0.4888888888888889,0.17777777777777778,0.17777777777777778,0.13333333333333333,0.022222222222222223
0.9 - 1.0,0.6666666666666666,0.06060606060606061,0.12121212121212122,0.12121212121212122,0.030303030303030304
